symbol_config,trade_num,side,entry_date,entry_price,exit_date,exit_price,pnl_pct,exit_reason
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],1,long,2022-08-12,24402.82,2022-08-16,23883.29,-2.13,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],2,long,2022-11-04,21147.23,2022-11-07,20602.82,-2.57,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],3,long,2023-01-11,17934.9,2023-03-04,22353.35,24.64,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],4,long,2023-03-13,24197.53,2023-05-01,28091.57,16.09,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],5,long,2023-05-02,28680.54,2023-05-07,28454.98,-0.79,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],6,long,2023-06-21,30027.3,2023-07-24,29176.92,-2.83,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],7,long,2023-10-06,27946.6,2023-10-09,27583.68,-1.3,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],8,long,2023-10-16,28519.47,2024-01-14,41796.27,46.55,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],9,long,2024-01-16,43154.95,2024-01-17,42742.65,-0.96,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],10,long,2024-02-08,45301.57,2024-04-13,63821.47,40.88,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],11,long,2024-05-20,71432.17,2024-05-22,69109.93,-3.25,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],12,long,2024-05-25,69289.67,2024-05-26,68473.72,-1.18,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],13,long,2024-05-27,69368.72,2024-05-28,68321.98,-1.51,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],14,long,2024-06-03,68802.52,2024-06-11,67316.53,-2.16,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],15,long,2024-07-21,68181.28,2024-07-23,65939.24,-3.29,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],16,long,2024-07-26,67924.08,2024-07-30,66169.68,-2.58,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],17,long,2024-09-24,64272.93,2024-09-25,63130.89,-1.78,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],18,long,2024-09-26,65177.21,2024-09-30,63301.25,-2.88,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],19,long,2024-10-14,66107.28,2024-12-29,93563.35,41.53,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],20,long,2025-01-02,96903.19,2025-01-07,96941.98,0.04,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],21,long,2025-01-15,100510.23,2025-01-16,99981.78,-0.53,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],22,long,2025-01-17,104107.0,2025-01-28,101290.0,-2.71,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],23,long,2025-01-29,103747.25,2025-02-01,100623.85,-3.01,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],24,long,2025-04-22,93489.1,2025-06-20,103317.8,10.51,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],25,long,2025-06-24,106141.0,2025-07-01,105711.78,-0.4,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],26,long,2025-07-02,108888.32,2025-08-02,112542.74,3.36,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],27,long,2025-08-03,114215.73,2025-08-18,116286.76,1.81,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],28,long,2025-10-01,118659.97,2025-10-10,112980.28,-4.79,XunderHband
BTC/USD [v3.0 GC(4p/144/1.414) src=hlc3],29,long,2026-01-14,96955.16,2026-01-15,95587.65,-1.41,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],1,long,2022-03-04,39137.61,2022-04-11,39521.9,0.98,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],2,long,2023-01-19,21086.79,2023-03-04,22353.35,6.01,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],3,long,2023-03-14,24746.07,2023-05-01,28091.57,13.52,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],4,long,2023-05-05,29534.38,2023-05-07,28454.98,-3.65,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],5,long,2023-07-01,30590.08,2023-07-24,29176.92,-4.62,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],6,long,2023-10-21,29918.41,2024-01-14,41796.27,39.7,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],7,long,2024-01-16,43154.95,2024-01-17,42742.65,-0.96,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],8,long,2024-02-08,45301.57,2024-04-13,63821.47,40.88,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],9,long,2024-06-03,68802.52,2024-06-11,67316.53,-2.16,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],10,long,2024-10-16,67628.96,2024-12-29,93563.35,38.35,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],11,long,2025-01-04,98209.85,2025-01-07,96941.98,-1.29,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],12,long,2025-01-23,103926.36,2025-01-28,101290.0,-2.54,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],13,long,2025-05-03,95861.33,2025-06-20,103317.8,7.78,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],14,long,2025-06-24,106141.0,2025-07-01,105711.78,-0.4,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],15,long,2025-07-02,108888.32,2025-08-02,112542.74,3.36,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],16,long,2025-08-03,114215.73,2025-08-18,116286.76,1.81,XunderHband
BTC/USD [v3.1 GC(4p/144/1.414) src=hlc3 StochRSI+ATR_SL],17,long,2025-10-07,121393.95,2025-10-10,116749.53,-3.83,ATR_SL
BTC/USD [v3.3 GC(4p/144/1.414) src=hlc3 LATE TrendFlip],1,long,2022-01-31,38483.12,2022-05-05,36575.14,-4.96,TrendFlip
BTC/USD [v3.3 GC(4p/144/1.414) src=hlc3 LATE TrendFlip],2,long,2022-08-18,23212.74,2022-09-01,20127.14,-13.29,TrendFlip
BTC/USD [v3.3 GC(4p/144/1.414) src=hlc3 LATE TrendFlip],3,long,2023-01-19,21086.79,2023-05-27,26868.35,27.42,TrendFlip
BTC/USD [v3.3 GC(4p/144/1.414) src=hlc3 LATE TrendFlip],4,long,2023-07-01,30590.08,2023-08-21,26124.14,-14.6,TrendFlip
BTC/USD [v3.3 GC(4p/144/1.414) src=hlc3 LATE TrendFlip],5,long,2023-10-17,28415.75,2024-05-08,61187.94,115.33,TrendFlip
